source_layer,source_object,source_columns,target_layer,target_object,target_columns,mapping_category,primary_key,foreign_keys,source_to_target_mapping,join_rules,aggregation_rules,cast_rules,dq_rules,audit_rules,transformation_logic,business_purpose,output_dataset,dbt_model,implementation
bronze,customers,"customer_id,first_name,last_name,date_of_birth,gender,email,phone_mobile,phone_home,nationality,occupation,annual_income,credit_score,customer_status,created_at,updated_at",silver,silver_customers,"customer_id,first_name,last_name,date_of_birth,gender,email,phone_mobile,phone_home,nationality,occupation,annual_income,credit_score,customer_status,created_at,updated_at",1:1 passthrough,customer_id,none,direct column passthrough,none,none,"date_of_birth→DATE,created_at→DATE,updated_at→DATE","NOT NULL: customer_id; NOT NULL: customer_status","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date fields; add audit and DQ columns,Typed and quality-checked customer records,silver,silver_customers,Complete
bronze,addresses,"address_id,customer_id,address_type,address_line1,address_line2,city,county,postcode,country,is_primary,valid_from,valid_to",silver,silver_addresses,"address_id,customer_id,address_type,address_line1,address_line2,city,county,postcode,country,is_primary,valid_from,valid_to",1:1 passthrough,address_id,customer_id→customers,direct column passthrough,none,none,"valid_from→DATE,valid_to→DATE","NOT NULL: address_id,customer_id","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date fields,Customer address records with quality checks,silver,silver_addresses,Complete
bronze,accounts,"account_id,customer_id,account_type,account_number,sort_code,currency,balance,overdraft_limit,account_status,opened_date,closed_date",silver,silver_accounts,"account_id,customer_id,account_type,account_number,sort_code,currency,balance,overdraft_limit,account_status,opened_date,closed_date",1:1 passthrough,account_id,customer_id→customers,direct column passthrough,none,none,"opened_date→DATE,closed_date→DATE,balance→FLOAT64,overdraft_limit→INT64","NOT NULL: account_id,customer_id,account_status","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST numeric and date fields,Bank account records with quality checks,silver,silver_accounts,Complete
bronze,credit_cards,"card_id,customer_id,account_id,card_type_id,card_number_masked,card_number_hash,expiry_date,cardholder_name,credit_limit,available_credit,card_status,issued_date,activation_date,is_contactless,is_virtual,pin_failed_attempts",silver,silver_credit_cards,"card_id,customer_id,account_id,card_type_id,card_number_masked,card_number_hash,expiry_date,cardholder_name,credit_limit,available_credit,card_status,issued_date,activation_date,is_contactless,is_virtual,pin_failed_attempts",1:1 passthrough,card_id,"customer_id→customers,account_id→accounts,card_type_id→dim_card_types",direct column passthrough,none,none,"issued_date→DATE,activation_date→DATE,credit_limit→INT64,available_credit→FLOAT64,pin_failed_attempts→INT64","NOT NULL: card_id,customer_id,account_id,card_type_id,card_status","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST numeric and date fields,Credit card instrument records,silver,silver_credit_cards,Complete
bronze,merchants,"merchant_id,merchant_name,mcc_code,merchant_city,merchant_country,merchant_postcode,terminal_id,acquirer_bank,is_online,registered_date",silver,silver_merchants,"merchant_id,merchant_name,mcc_code,merchant_city,merchant_country,merchant_postcode,terminal_id,acquirer_bank,is_online,registered_date",1:1 passthrough,merchant_id,mcc_code→dim_merchant_categories,direct column passthrough,none,none,registered_date→DATE,"NOT NULL: merchant_id,merchant_name","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date field,Merchant master records,silver,silver_merchants,Complete
bronze,transactions,"transaction_id,card_id,merchant_id,txn_type_id,transaction_date,posting_date,amount,currency,original_amount,original_currency,fx_rate,description,status,is_online,is_international,mcc_code,auth_code,is_flagged",silver,silver_transactions,"transaction_id,card_id,merchant_id,txn_type_id,transaction_date,posting_date,amount,currency,original_amount,original_currency,fx_rate,description,status,is_online,is_international,mcc_code,auth_code,is_flagged",1:1 passthrough,transaction_id,"card_id→credit_cards,merchant_id→merchants,txn_type_id→dim_transaction_types",direct column passthrough,none,none,"transaction_date→DATE,posting_date→DATE,amount→FLOAT64,original_amount→FLOAT64,fx_rate→FLOAT64","NOT NULL: transaction_id,card_id,amount,status","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST numeric and date fields,Transaction records with quality checks,silver,silver_transactions,Complete
bronze,statements,"statement_id,card_id,statement_date,due_date,opening_balance,total_purchases,total_payments,total_fees,total_interest,closing_balance,minimum_payment,payment_status,is_paperless",silver,silver_statements,"statement_id,card_id,statement_date,due_date,opening_balance,total_purchases,total_payments,total_fees,total_interest,closing_balance,minimum_payment,payment_status,is_paperless",1:1 passthrough,statement_id,card_id→credit_cards,direct column passthrough,none,none,"statement_date→DATE,due_date→DATE,all balance fields→FLOAT64","NOT NULL: statement_id,card_id,payment_status","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST numeric and date fields,Monthly billing statements,silver,silver_statements,Complete
bronze,payments,"payment_id,statement_id,card_id,payment_date,amount,payment_method,reference,status,is_minimum_only",silver,silver_payments,"payment_id,statement_id,card_id,payment_date,amount,payment_method,reference,status,is_minimum_only",1:1 passthrough,payment_id,"statement_id→statements,card_id→credit_cards",direct column passthrough,none,none,"payment_date→DATE,amount→FLOAT64","NOT NULL: payment_id,card_id,amount,status","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST numeric and date fields,Payment records against statements,silver,silver_payments,Complete
bronze,fees,"fee_id,card_id,transaction_id,fee_type,fee_amount,fee_date,waived,waiver_reason,statement_cycle",silver,silver_fees,"fee_id,card_id,transaction_id,fee_type,fee_amount,fee_date,waived,waiver_reason,statement_cycle",1:1 passthrough,fee_id,"card_id→credit_cards,transaction_id→transactions(nullable)",direct column passthrough,none,none,"fee_date→DATE,fee_amount→FLOAT64","NOT NULL: fee_id,card_id,fee_type","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date and amount fields,Fee charge records,silver,silver_fees,Complete
bronze,fraud_alerts,"alert_id,transaction_id,card_id,alert_type,alert_timestamp,risk_score,status,resolved_at,analyst_notes,is_genuine_fraud",silver,silver_fraud_alerts,"alert_id,transaction_id,card_id,alert_type,alert_timestamp,risk_score,status,resolved_at,analyst_notes,is_genuine_fraud",1:1 passthrough,alert_id,"transaction_id→transactions,card_id→credit_cards",direct column passthrough,none,none,"alert_timestamp→TIMESTAMP,resolved_at→TIMESTAMP,risk_score→FLOAT64","NOT NULL: alert_id,card_id,alert_type,status","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST timestamp and score fields,Fraud alert records,silver,silver_fraud_alerts,Complete
